id,title,text,question,answers
9.69332E+11,جمال خاشقجي,جمال أحمد حمزة خاشقجي (13 أكتوبر 1958، المدينة المنورة - 2 أكتوبر 2018)، صحفي وإعلامي سعودي، رأس عدّة مناصب لعدد من الصحف في السعودية، وتقلّد منصب مستشار، كما أنّه مدير عام قناة العرب الإخبارية سابقًا.,- من هو جمال أحمد حمزة خاشقجي؟,"{'text': array(['صحفي وإعلامي'], dtype=object), 'answer_start': array([73], dtype=int32)}"
1.15151E+11,جمال خاشقجي,جمال أحمد حمزة خاشقجي (13 أكتوبر 1958، المدينة المنورة - 2 أكتوبر 2018)، صحفي وإعلامي سعودي، رأس عدّة مناصب لعدد من الصحف في السعودية، وتقلّد منصب مستشار، كما أنّه مدير عام قناة العرب الإخبارية سابقًا.,- متى ولد جمال أحمد حمزة خاشقجي وتوفي؟ ال,"{'text': array(['حمزة خاشقجي (13 أكتوبر 1958، المدينة المنورة - 2 أكتوبر 2018)،'],
      dtype=object), 'answer_start': array([10], dtype=int32)}"
74212080718,جمال خاشقجي,جمال أحمد حمزة خاشقجي (13 أكتوبر 1958، المدينة المنورة - 2 أكتوبر 2018)، صحفي وإعلامي سعودي، رأس عدّة مناصب لعدد من الصحف في السعودية، وتقلّد منصب مستشار، كما أنّه مدير عام قناة العرب الإخبارية سابقًا.,- في أي مدينة ولد جمال أحمد حمزة خاشقجي؟ ال,"{'text': array(['المدينة المنورة'], dtype=object), 'answer_start': array([39], dtype=int32)}"
4.65699E+11,جمال خاشقجي,"جمال أحمد حمزة خاشقجي (13 أكتوبر 1958، المدينة المنورة - 2 أكتوبر 2018)، صحفي وإعلامي سعودي، رأس عدّة مناصب لعدد من الصحف في السعودية، وتقلّد منصب مستشار، كما أنّه مدير عام قناة العرب الإخبارية سابقًا. ويكتب عموداً في صحيفة واشنطن بوست منذ 2017، وُصف في الصحف وأجهزة الاعلام العالمية بأنه ""وفيّ للدولة السعودية"" و""منتقد لسياساتها"".",- في أي صحيفة قام بكتابة عمود منذ عام 2017؟ ال,"{'text': array(['واشنطن بوست'], dtype=object), 'answer_start': array([224], dtype=int32)}"
5.64178E+11,جمال خاشقجي,"جمال أحمد حمزة خاشقجي (13 أكتوبر 1958، المدينة المنورة - 2 أكتوبر 2018)، صحفي وإعلامي سعودي، رأس عدّة مناصب لعدد من الصحف في السعودية، وتقلّد منصب مستشار، كما أنّه مدير عام قناة العرب الإخبارية سابقًا. ويكتب عموداً في صحيفة واشنطن بوست منذ 2017، وُصف في الصحف وأجهزة الاعلام العالمية بأنه ""وفيّ للدولة السعودية"" و""منتقد لسياساتها"".",- كيف وصفها في الصحف ووسائل الإعلام الدولية؟ ال,"{'text': array(['وُصف في الصحف وأجهزة الاعلام العالمية بأنه ""وفيّ للدولة السعودية"" و""منتقد لسياساتها"".'],
      dtype=object), 'answer_start': array([246], dtype=int32)}"
98945395462,جمال خاشقجي,"جمال أحمد حمزة خاشقجي (13 أكتوبر 1958، المدينة المنورة - 2 أكتوبر 2018)، صحفي وإعلامي سعودي، رأس عدّة مناصب لعدد من الصحف في السعودية، وتقلّد منصب مستشار، كما أنّه مدير عام قناة العرب الإخبارية سابقًا. ويكتب عموداً في صحيفة واشنطن بوست منذ 2017، وُصف في الصحف وأجهزة الاعلام العالمية بأنه ""وفيّ للدولة السعودية"" و""منتقد لسياساتها"".",- في أي منصب شغل في الجريدة؟ ال,"{'text': array(['وتقلّد منصب مستشار،'], dtype=object), 'answer_start': array([135], dtype=int32)}"
8.38329E+11,جمال خاشقجي,غادر خاشقجي السعودية في سبتمبر 2017، وكتب بعد ذلك مقالات صحفية انتقد فيها الحكومة السعودية. انتقد خاشقجي بصورة كبيرة ولي العهد السعودي محمد بن سلمان، والملك سلمان بن عبد العزيز. وكذلك عارض التدخل العسكري في اليمن.,- متى غادر خاشقجي السعودية؟ ال,"{'text': array(['في سبتمبر 2017،'], dtype=object), 'answer_start': array([21], dtype=int32)}"
4.32911E+11,جمال خاشقجي,غادر خاشقجي السعودية في سبتمبر 2017، وكتب بعد ذلك مقالات صحفية انتقد فيها الحكومة السعودية. انتقد خاشقجي بصورة كبيرة ولي العهد السعودي محمد بن سلمان، والملك سلمان بن عبد العزيز. وكذلك عارض التدخل العسكري في اليمن.,- لمن ينتقده في مقالاته الإخبارية؟ ال,"{'text': array(['الحكومة السعودية.'], dtype=object), 'answer_start': array([74], dtype=int32)}"
6.19453E+11,جمال خاشقجي,غادر خاشقجي السعودية في سبتمبر 2017، وكتب بعد ذلك مقالات صحفية انتقد فيها الحكومة السعودية. انتقد خاشقجي بصورة كبيرة ولي العهد السعودي محمد بن سلمان، والملك سلمان بن عبد العزيز. وكذلك عارض التدخل العسكري في اليمن.,- لمن انتقد خاشقجي بشدة في مقالاته الإخبارية؟ ال,"{'text': array(['ولي العهد السعودي محمد بن سلمان، والملك سلمان بن عبد العزيز.'],
      dtype=object), 'answer_start': array([117], dtype=int32)}"
3.33773E+11,السعودية,السعودية أو (رسميًا: المملكة العربية السعودية) هي دولة عربية، وتعد أكبر دولة في الشرق الأوسط وتقع تحديدًا في الجنوب الغربي من قارة آسيا وتشكل الجزء الأكبر من شبه الجزيرة العربية إذ تبلغ مساحتها حوالي مليوني كيلومتر مربع.,- أي دولة هي أكبر دولة في الشرق الأوسط؟ ال,"{'text': array(['المملكة العربية السعودية)'], dtype=object), 'answer_start': array([21], dtype=int32)}"
2.62205E+11,السعودية,السعودية أو (رسميًا: المملكة العربية السعودية) هي دولة عربية، وتعد أكبر دولة في الشرق الأوسط وتقع تحديدًا في الجنوب الغربي من قارة آسيا وتشكل الجزء الأكبر من شبه الجزيرة العربية إذ تبلغ مساحتها حوالي مليوني كيلومتر مربع.,- أين تقع المملكة العربية السعودية في آسيا؟ ال,"{'text': array(['الجنوب الغربي'], dtype=object), 'answer_start': array([109], dtype=int32)}"
8.09283E+11,السعودية,السعودية أو (رسميًا: المملكة العربية السعودية) هي دولة عربية، وتعد أكبر دولة في الشرق الأوسط وتقع تحديدًا في الجنوب الغربي من قارة آسيا وتشكل الجزء الأكبر من شبه الجزيرة العربية إذ تبلغ مساحتها حوالي مليوني كيلومتر مربع.,- ما هي مساحة الجزء الأكبر من شبه الجزيرة العربية؟ ال,"{'text': array(['حوالي مليوني كيلومتر مربع.'], dtype=object), 'answer_start': array([194], dtype=int32)}"
1.30251E+11,السعودية,السعودية ورسميًا المملكة العربية السعودية هي أكبر دولة في الشرق الأوسط وتقع تحديدًا في الجنوب الغربي من قارة آسيا وتشكل الجزء الأكبر من شبه الجزيرة العربية إذ تبلغ مساحتها حوالي مليوني كيلومتر مربع. يحدها من الشمال العراق والأردن وتحدها الكويت من الشمال الشرقي، ومن الشرق تحدها كل من قطر والإمارات العربية المتحدة بالإضافة إلى البحرين التي ترتبط بالسعودية من خلال جسر الملك فهد الواقع على الخليج العربي، ومن الجنوب تحدها اليمن، وعُمان من الجنوب الشرقي، كما يحدها البحر الأحمر من جهة الغرب.,- ما هي الحدود في الشمال؟ ال,"{'text': array(['يحدها من الشمال العراق والأردن'], dtype=object), 'answer_start': array([199], dtype=int32)}"
7.91277E+11,السعودية,السعودية ورسميًا المملكة العربية السعودية هي أكبر دولة في الشرق الأوسط وتقع تحديدًا في الجنوب الغربي من قارة آسيا وتشكل الجزء الأكبر من شبه الجزيرة العربية إذ تبلغ مساحتها حوالي مليوني كيلومتر مربع. يحدها من الشمال العراق والأردن وتحدها الكويت من الشمال الشرقي، ومن الشرق تحدها كل من قطر والإمارات العربية المتحدة بالإضافة إلى البحرين التي ترتبط بالسعودية من خلال جسر الملك فهد الواقع على الخليج العربي، ومن الجنوب تحدها اليمن، وعُمان من الجنوب الشرقي، كما يحدها البحر الأحمر من جهة الغرب.,- ما هي الحدود في الشمال الشرقي؟ ال,"{'text': array(['الكويت'], dtype=object), 'answer_start': array([237], dtype=int32)}"
8.24673E+11,السعودية,السعودية ورسميًا المملكة العربية السعودية هي أكبر دولة في الشرق الأوسط وتقع تحديدًا في الجنوب الغربي من قارة آسيا وتشكل الجزء الأكبر من شبه الجزيرة العربية إذ تبلغ مساحتها حوالي مليوني كيلومتر مربع. يحدها من الشمال العراق والأردن وتحدها الكويت من الشمال الشرقي، ومن الشرق تحدها كل من قطر والإمارات العربية المتحدة بالإضافة إلى البحرين التي ترتبط بالسعودية من خلال جسر الملك فهد الواقع على الخليج العربي، ومن الجنوب تحدها اليمن، وعُمان من الجنوب الشرقي، كما يحدها البحر الأحمر من جهة الغرب.,- ما هي الحدود في الشرق؟,"{'text': array(['قطر والإمارات العربية المتحدة بالإضافة إلى البحرين التي ترتبط بالسعودية من خلال جسر الملك'],
      dtype=object), 'answer_start': array([284], dtype=int32)}"
4.18675E+11,السعودية,"حكم آل سعود تاريخيا في نجد ومناطق واسعة من الجزيرة العربية أكثر من مرة، وتعتبر المملكة السعودية الحالية نتاجًا ووارثة لتلك الكيانات التاريخية، أول تلك الكيانات إمارة الدرعية التي أسسها محمد بن سعود سنة 1157 هـ / 1744 وظلت حتى قاد إبراهيم باشا جيش والي مصر العثماني في حملة للقضاء عليها عام 1233 هـ / 1818م، ويشار إلى تلك المرحلة باسم ""الدولة السعودية الأولى""، ولكن لم يطل الوقت بعد سقوط الدولة الأولى حتى أقام تركي بن عبد الله بن محمد إمارة جديدة لآل سعود في نجد، اتخذت من الرياض عاصمة واستمرت حتى انتزع حكام إمارة حائل إمارة الرياض من آل سعود سنة 1308 هـ / 1891، ويشار إلى تلك المرحلة بـ""الدولة السعودية الثانية"". لاحقًا استرد عبد العزيز آل سعود الشاب سنة 1319 هـ / 1902 إمارة الرياض من يد آل رشيد، وتوسع مسيطرا على كامل نجد 1921 وتسمت بسلطنة نجد حتى نجح عبد العزيز بانتزاع مملكة الحجاز من يد الهاشميين، فنصب ملكا على الحجاز في يناير من عام 1926، وبعدها بعام غيّر لقبه من سلطان نجد إلى ملك نجد، وسميت المناطق التي يسيطر عليها مملكة الحجاز ونجد وملحقاتها، وظلت بذلك الاسم حتى وحد عبد العزيز جميع المناطق التي يسيطر عليها في كيان واحد، وكان ذلك في 1351 هـ / 23 سبتمبر 1932 وأُعلن اسمها ""المملكة العربية السعودية"".",- ما هي الكيانات الأولى في المملكة العربية السعودية؟,"{'text': array(['أول تلك الكيانات إمارة الدرعية'], dtype=object), 'answer_start': array([143], dtype=int32)}"
1.02112E+11,السعودية,"حكم آل سعود تاريخيا في نجد ومناطق واسعة من الجزيرة العربية أكثر من مرة، وتعتبر المملكة السعودية الحالية نتاجًا ووارثة لتلك الكيانات التاريخية، أول تلك الكيانات إمارة الدرعية التي أسسها محمد بن سعود سنة 1157 هـ / 1744 وظلت حتى قاد إبراهيم باشا جيش والي مصر العثماني في حملة للقضاء عليها عام 1233 هـ / 1818م، ويشار إلى تلك المرحلة باسم ""الدولة السعودية الأولى""، ولكن لم يطل الوقت بعد سقوط الدولة الأولى حتى أقام تركي بن عبد الله بن محمد إمارة جديدة لآل سعود في نجد، اتخذت من الرياض عاصمة واستمرت حتى انتزع حكام إمارة حائل إمارة الرياض من آل سعود سنة 1308 هـ / 1891، ويشار إلى تلك المرحلة بـ""الدولة السعودية الثانية"". لاحقًا استرد عبد العزيز آل سعود الشاب سنة 1319 هـ / 1902 إمارة الرياض من يد آل رشيد، وتوسع مسيطرا على كامل نجد 1921 وتسمت بسلطنة نجد حتى نجح عبد العزيز بانتزاع مملكة الحجاز من يد الهاشميين، فنصب ملكا على الحجاز في يناير من عام 1926، وبعدها بعام غيّر لقبه من سلطان نجد إلى ملك نجد، وسميت المناطق التي يسيطر عليها مملكة الحجاز ونجد وملحقاتها، وظلت بذلك الاسم حتى وحد عبد العزيز جميع المناطق التي يسيطر عليها في كيان واحد، وكان ذلك في 1351 هـ / 23 سبتمبر 1932 وأُعلن اسمها ""المملكة العربية السعودية"".",- من الذي أسس الكيانات الأولى في المملكة العربية السعودية؟ ال,"{'text': array(['محمد بن سعود'], dtype=object), 'answer_start': array([185], dtype=int32)}"
